location,currency,month,exchange_rate_to_INR,accommodation_type,travel_purpose,traveler_type,tags,average_days,hotel_cost_on_season_INR,hotel_cost_off_season_INR,hotel_cost_on_season_local,hotel_cost_off_season_local,transport_options,transport_cost_on_season_INR,transport_cost_off_season_INR,transport_cost_on_season_local,transport_cost_off_season_local,extra_expenses_INR,extra_expenses_local,total_budget_on_season_INR,total_budget_off_season_INR
Jaipur,INR,January,1.0,Resort,Leisure,Family Traveler,cultural,5,9360.2,9910.8,9360.2,9910.8,Flight,4685.2,4960.8,4685.2,4960.8,2961.75,2961.75,17007.15,17833.35
Kerala,INR,April,1.0,Airbnb,Business,Family Traveler,"family, adventure",3,9623.0,8660.7,9623.0,8660.7,Flight,9779.0,8801.1,9779.0,8801.1,6003.65,6003.65,25405.65,23465.45
Barcelona,EUR,June,90.0,Airbnb,Leisure,Budget Traveler,"solo, romantic",15,13326.0,9994.5,148.07,111.05,Bus,4856.4,3642.3,53.96,40.47,2672.7,29.7,20855.1,16309.5
Rome,EUR,September,90.0,Hotel,Business,Family Traveler,"cultural, family",11,5176.5,5481.0,57.52,60.9,Flight,6545.85,6930.9,72.73,77.01,1576.96,17.52,13299.31,13988.86
Tokyo,JPY,February,0.55,Airbnb,Adventure,Backpacker,romantic,7,8183.8,8665.2,14879.64,15754.91,Train,2680.9,2838.6,4874.36,5161.09,4074.68,7408.51,14939.38,15578.48
Kerala,INR,October,1.0,Airbnb,Business,Business Traveler,"cultural, family",6,7607.0,6846.3,7607.0,6846.3,Flight,10251.0,9225.9,10251.0,9225.9,6503.58,6503.58,24361.58,22575.78
Manali,INR,June,1.0,Resort,Pilgrimage,Family Traveler,"romantic, family, cultural",6,18174.0,13630.5,18174.0,13630.5,Car Rental,7063.2,5297.4,7063.2,5297.4,1669.41,1669.41,26906.61,20597.31
Leh,INR,May,1.0,Airbnb,Business,Family Traveler,"cultural, adventure",11,7890.0,5917.5,7890.0,5917.5,Train,6648.0,4986.0,6648.0,4986.0,7157.36,7157.36,21695.36,18060.86
Cape Town,ZAR,August,4.5,Resort,Adventure,Luxury Traveler,"adventure, solo, family",4,4978.0,4480.2,1106.22,995.6,Car Rental,13882.0,12493.8,3084.89,2776.4,1288.84,286.41,20148.84,18262.84
Sydney,AUD,January,55.0,Resort,Pilgrimage,Backpacker,romantic,15,4890.05,5177.7,88.91,94.14,Train,10768.65,11402.1,195.79,207.31,5146.26,93.57,20804.96,21726.06
